first_name,gender,country,occurrences,rn
Aurela,F,AL,193,157
Luiza,F,AL,193,158
Tefta,F,AL,190,159
Emi,F,AL,188,160
Ema,F,AL,185,161
Lumturi,F,AL,185,162
Manushaqe,F,AL,185,163
Xhesika,F,AL,184,164
Lela,F,AL,183,165
Vilma,F,AL,181,166
Bukurie,F,AL,181,167
Xhoana,F,AL,180,168
Yllka,F,AL,178,169
Eglantina,F,AL,178,170
Enkelejda,F,AL,178,171
Denada,F,AL,176,172
Erjola,F,AL,176,173
Rina,F,AL,176,174
Marina,F,AL,175,175
Erjona,F,AL,173,176
Dajana,F,AL,172,177
Albina,F,AL,172,178
Tea,F,AL,172,179
Laureta,F,AL,171,180
Tina,F,AL,169,181
Kozeta,F,AL,169,182
Amelia,F,AL,169,183
Dafina,F,AL,168,184
Bela,F,AL,165,185
